customer_id;first_name;last_name;address;postcode;city;country;email;date_of_birth
21;Lori;Pena;"5078 Diamond Bridge
Christopherstad, NC 10795";08945;South Alexandrashire;Estonia;elizabethhansen@example.net;1976-09-04
22;Shannon;Jackson;"494 Greer Camp Apt. 318
Washingtonview, OK 11392";67311;Susanport;Micronesia;longsteven@example.net;2000-04-24
23;Ryan;Keller;"8045 Montes Plains Apt. 340
Hickstown, RI 16248";49744;Lauramouth;United States Virgin Islands;amanda33@example.org;1980-09-07
24;Aimee;Franco;"USS Benson
FPO AA 43369";87098;South Theodore;Netherlands;david76@example.com;1979-02-11
25;Christian;Wilkerson;"481 Thompson Wells Apt. 436
Ericview, GA 66098";95539;Lindseyburgh;Turkmenistan;valerie90@example.com;1963-08-15
26;Benjamin;Duncan;"3972 Lee Viaduct
Lake Robert, TX 49019";36997;East Jennifertown;Cote d'Ivoire;jmartinez@example.net;1988-07-28
27;Wesley;Jimenez;"6993 Miranda Roads Apt. 201
Lake Derek, TN 77987";88078;Port Zachary;Micronesia;anthonyfloyd@example.net;1982-12-02
28;Kimberly;Oneal;"4457 Watson Hill Apt. 009
Hernandezbury, CO 35440";01013;Lake Frances;Jordan;marc87@example.com;1992-04-20
29;Jeremy;Ray;"59489 Robert Key
Heatherfort, FL 49956";86142;Lake Cynthia;Mali;uclay@example.net;1997-11-14
30;Michelle;Henson;"USCGC Fox
FPO AA 26203";50331;Smithmouth;Guernsey;marciaarmstrong@example.com;2002-04-23
31;Richard;Mann;"142 Kristina Falls
South Jasonview, SC 34245";08323;East Kellychester;Mexico;hannahgarcia@example.net;2000-04-15
32;Evan;Cowan;"567 Koch Causeway Suite 051
New Miamouth, AL 09952";06822;Wallacemouth;United States of America;davidbailey@example.com;1984-03-10
33;Linda;Henderson;"01768 Hannah Pass
North Bryan, KY 18380";61241;Yorkview;Macedonia;jessica58@example.com;1975-04-22
34;Beverly;Clark;"0686 Jeremiah Shoals
Jacquelinestad, OK 25298";24060;Kimberlyborough;Vietnam;choirobert@example.com;1998-12-12
35;Betty;Torres;"Unit 0094 Box 6769
DPO AP 71643";82209;New Russellhaven;Haiti;daniel66@example.org;1993-02-20
36;Michael;Perez;"PSC 4703, Box 4806
APO AA 87706";59160;South Daniel;Suriname;simmonsstacy@example.org;1995-12-02
37;Colleen;Harrison;"617 Erik Overpass Suite 930
East Joseph, OK 28765";93398;Robertsonmouth;Croatia;lozanoheather@example.com;1994-02-26
38;Michael;Perry;"1048 Diane Rest
Dannyberg, IL 45271";81246;East Angelaville;Saint Barthelemy;bbennett@example.com;1958-01-25
39;Austin;Williams;"03010 Robbins Lodge
Elizabethville, TN 63902";73419;Colonport;Afghanistan;kellybrown@example.net;1994-02-01
40;Amy;Cervantes;"23793 Robertson Garden
West Caseyport, MS 31419";91854;Gregoryside;Bouvet Island (Bouvetoya);sara86@example.net;1965-02-11
41;Jack;Carroll;"093 Joseph Flats Suite 307
East Sandra, AK 77165";18090;Taylorside;Palau;rwebb@example.com;1995-01-27
42;Ashley;Reid;"9722 Ashley Streets Apt. 557
Jessicaside, NJ 88480";02348;New Stephanie;Bolivia;qgarner@example.com;1972-07-01
43;Stanley;Lara;"67563 Gomez Lodge
Port Cindy, SD 19762";90476;Port Matthew;Wallis and Futuna;zbridges@example.com;1984-01-01
44;Dawn;Olson;"543 Brown Lake Apt. 834
East Benjamin, NV 56435";89292;Weberfurt;Malta;mward@example.net;1968-02-29
45;Rebecca;Martinez;"15167 Diane Turnpike Suite 250
Smithburgh, NJ 12894";50715;Keithville;United States Virgin Islands;makayla44@example.org;1978-01-17
46;Austin;Gonzales;"3820 Elizabeth Loaf Suite 493
West Michaelborough, AR 48555";73712;East Joshuaport;Georgia;whitejoshua@example.org;1979-10-08
47;Alexis;Johnson;"63406 Gill Way
South Robertberg, VT 91740";46773;New Angel;Marshall Islands;jason32@example.org;1985-12-15
48;Keith;Rodriguez;"415 Andrea Track Suite 453
South Samanthaton, IN 31600";50810;New Michelle;Russian Federation;tony98@example.com;1969-08-14
49;Jessica;Patton;"97512 Vega Unions Apt. 637
South David, AL 48372";16793;Waltersport;Philippines;stephaniejohnson@example.org;1975-07-24
50;Victoria;Frank;"6230 Farrell Parkway
Johnsonfort, CA 94458";18439;New Bobby;Norfolk Island;vsilva@example.com;1996-10-02
